Gender;E-Paylater User Status;Educational Background;Year of Birth;Job Status;Monthly Income;Average monthly expenditure for online shopping in relation to monthly income;IBB1;IBB2;IBB3;IBB4;P1;P2;P3;P4;SI1;SI2;SI3;SI4;SI5;SI6;H1;H2;H3;H4;SC1;SC2;SC3 ;SC4 ;SC5;NE1;NE2;NE3;NE4;NE5
2;1;3;1997;2;3;1;3;3;3;1;3;3;3;3;2;2;2;2;1;1;4;3;4;3;5;5;3;3;4;3;3;4;3;2
1;2;1;2002;1;2;2;3;1;2;1;3;4;3;3;1;1;1;4;2;3;4;4;4;4;4;4;2;3;4;5;5;5;5;4
1;1;1;2002;1;2;1;3;3;3;3;3;3;3;3;3;4;3;3;3;3;4;4;4;4;4;4;2;2;2;3;3;3;3;3
2;2;3;2002;1;1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;2;2;2;1;1;1;2;1
1;2;3;2002;2;6;1;1;1;1;1;2;2;2;2;2;1;2;3;1;2;3;3;4;3;5;2;3;1;5;3;3;2;3;3
1;2;1;2000;1;2;2;4;5;2;5;3;3;4;3;4;5;5;3;4;3;3;4;4;3;1;1;2;5;5;3;4;4;4;4
2;1;1;2002;1;1;1;4;1;3;4;1;1;1;1;1;1;1;1;1;1;5;5;5;5;5;5;2;3;2;5;5;5;5;5
2;1;1;2002;1;1;2;1;1;2;3;1;1;1;1;1;1;1;1;1;1;5;5;5;5;3;3;1;2;3;5;5;5;5;5
2;2;3;2001;4;6;1;2;2;2;2;1;2;2;3;3;2;2;2;2;2;3;2;2;2;5;5;4;4;4;3;5;5;5;5
1;1;3;2002;2;6;1;4;3;3;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;4;4;3;3;3;3;3;3;3;3
2;1;3;2003;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;3;3;3;3;5;5;4;4;4;5;4;4;2;2
2;1;1;2002;1;2;1;4;4;4;4;4;4;4;4;4;4;3;4;4;4;2;2;2;2;2;3;2;2;2;3;4;3;4;4
1;1;4;2001;2;6;1;5;4;3;2;2;2;1;2;2;2;2;2;2;2;3;3;4;3;5;4;3;4;4;4;4;4;2;2
1;1;4;1999;4;3;1;3;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;5;5;4;4;5;5;5;5;5;5
1;1;3;2002;1;1;1;2;3;3;2;2;2;2;3;3;4;2;2;1;2;3;3;3;4;4;4;3;3;3;3;4;2;2;2
1;1;4;2000;2;3;1;4;4;4;4;2;2;2;2;2;2;2;2;2;3;3;3;3;3;2;2;4;4;4;3;4;4;4;4
1;2;2;2002;1;2;2;4;3;4;2;4;4;4;4;3;3;3;3;3;3;3;4;3;3;4;2;3;2;4;2;3;4;4;3
2;2;2;2002;2;4;2;4;5;1;4;4;5;2;4;2;5;3;4;5;4;2;3;4;5;4;5;3;2;1;4;2;5;2;5
1;2;3;1978;4;6;2;4;3;5;5;1;2;2;3;2;5;5;5;2;2;2;3;1;3;4;2;2;1;1;4;2;4;2;5
1;1;3;1980;1;1;1;3;2;4;3;5;5;5;5;4;3;3;3;3;4;4;4;4;4;5;5;5;2;4;5;5;5;5;4
1;1;1;1999;1;1;2;4;4;2;5;4;4;4;5;4;4;5;5;5;5;4;4;4;4;2;3;2;1;2;4;4;4;3;3
2;1;3;2002;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;3;3;3;3;3
1;1;3;1999;2;6;1;4;3;1;1;1;1;1;1;1;1;1;1;1;1;2;3;2;3;1;2;3;4;3;5;3;4;3;4
